Relative Path,File Name,Extension,File Size (bytes),Package,Test,Dimensions (pixels),Colour,Cardinality,Subject,Fingerprint Type,Gender,Eyes,Mouth,Background,Facing,Rotation,Same subject,Same image as,Other,,,RGB_bytes_match,RGBA_bytes_match,BW_bytes_match,bytes_match,skip_bytes_checks
\assets\common,1.data,.data,"110,000",N/F,N/F,275x400,BW,One,Fingerprint Digital,Whorl,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,11-58806.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Man,Open,Neutral,White,Front,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,11.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Man,Open,Neutral,White,Front,,11-58806.data,,,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,12-54566.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,12.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,12-54566.data,,,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,123456789987654123123456789987654321.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,glasses,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,14-62859.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,14.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,14-62859.data,,,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,15-42991.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,hair pulled back,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,15.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,15-42991.data,,,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,17_face.data,.data,"844,800",N/F,N/F,400x528,RGBA,Multiple,Face,,Woman,Open,Smiling,White,Front,,,,collage - multiple copies of the same picture,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,1_1.bmp,.bmp,"225,078",N/F,N/F,400x560,BW,One,Fingerprint Scan,Arch,,,,,,,,,,,,,,,N/A,TRUE
\assets\common,1_1.data,.data,"224,000",com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateAnsi378,400x560,BW,One,Fingerprint Scan,Arch,,,,,,,,1_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,1_1.data,.data,"224,000",com.gemalto.cogent.test.finger,FingerThreadSafetyTest.testThreadSafetyExtractTemplate,400x560,BW,One,Fingerprint Scan,Arch,,,,,,,,1_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,1_1.data,.data,"224,000",com.gemalto.cogent.test.image,BitmapUtilTest.testThreadSafetyConvertResolution,400x560,BW,One,Fingerprint Scan,Arch,,,,,,,,1_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,1_1.data,.data,"224,000",com.gemalto.cogent.test.image,BitmapUtilTest.testConvertResolution,400x560,BW,One,Fingerprint Scan,Arch,,,,,,,,1_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,1_1.data,.data,"224,000",com.gemalto.cogent.test.image,BitmapUtilTest.testConvertResolutionInvalidArguments,400x560,BW,One,Fingerprint Scan,Arch,,,,,,,,1_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,1_1_scaled_1000_to_500.data,.data,"56,000",com.gemalto.cogent.test.image,BitmapUtilTest.testConvertResolution,200x280,BW,One,Fingerprint Scan,Arch,,,,,,,1_1.bmp,,1_1.data scaled down by half,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,1_1_scaled_500_to_600.data,.data,"322,560",com.gemalto.cogent.test.image,BitmapUtilTest.testThreadSafetyConvertResolution,480x672,BW,One,Fingerprint Scan,Arch,,,,,,,1_1.bmp,,1_1.data scaled up by 1.2,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,1_1_scaled_500_to_600.data,.data,"322,560",com.gemalto.cogent.test.image,BitmapUtilTest.testConvertResolution,480x672,BW,One,Fingerprint Scan,Arch,,,,,,,1_1.bmp,,1_1.data scaled up by 1.2,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.benchmarktest.facelite,FaceBenchMarkTest.setUpClass,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.facelite,FaceTemplateTest.setUpClass,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.facelite,FaceThreadSafetyTest.setUpClass,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.facelite,FaceThreadSafetyTest.testThreadSafetyExtractAndMatch,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.facelite,FaceThreadSafetyTest.testThreadSafetySearch,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.finger,FingerTemplateTest.testAddingFingerDB,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.finger,FingerTemplateTest.testDeleteFromFingerDB,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.iris,IrisThreadSafetyTest.testThreadSafetySearch,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.nist,TestFileCreation.testFullFileCreation,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.nist,TestFileCreation.testCreateRecordWithIDC,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.nist,TestFileParsing.testFileReadKnown,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
