Relative Path,File Name,File Extension,File Size,Package,Test,Dimensions
common,1.data,.data,110000,com.gemalto.cogent.test.facelite,FaceTemplateTest.testAddingTOFaceDB,NF
common,1.data,.data,110000,com.gemalto.cogent.test.facelite,FaceTemplateTest.testAddingTOFaceDBNullTemplate,NF
common,1.data,.data,110000,com.gemalto.cogent.test.facelite,FaceTemplateTest.testDeletingFromFaceDB,NF
common,1.data,.data,110000,com.gemalto.cogent.test.facelite,FaceThreadSafetyTest.testThreadSafetySearch,NF
common,1.data,.data,110000,com.gemalto.cogent.test.finger,FingerTemplateTest.testAddingFingerDB,NF
common,1.data,.data,110000,com.gemalto.cogent.test.finger,FingerTemplateTest.testDeleteFromFingerDB,NF
common,1.data,.data,110000,com.gemalto.cogent.test.iris,IrisThreadSafetyTest.testThreadSafetySearch,NF
common,1.data,.data,110000,com.gemalto.cogent.test.nist,TestFileCreation.testFullFileCreation,NF
common,1.data,.data,110000,com.gemalto.cogent.test.nist,TestFileCreation.testFileCreationDisableAutoIDC1,NF
common,1.data,.data,110000,com.gemalto.cogent.test.nist,TestFileCreation.testComputeRecordSize,NF
common,1.data,.data,110000,com.gemalto.cogent.test.nist,TestFileCreation.testCreateRecordWithIDC,NF
common,1.data,.data,110000,com.gemalto.cogent.test.nist,TestFileParsing.testFileReadWriteAllTypes,NF
common,11-58806.data,.data,844800,NF,NF,NF
common,11.data,.data,844800,com.gemalto.cogent.test.face,FaceAPIMatchOnlyTest.testFeatureExtract,483x579
common,11.data,.data,844800,com.gemalto.cogent.test.face,FaceAPITest.testLocation,483x579
common,11.data,.data,844800,com.gemalto.cogent.test.face,FaceAPITest.testAttribute,483x579
common,11.data,.data,844800,com.gemalto.cogent.test.face,FaceAPITest.testFeatureExtract,483x579
common,11.data,.data,844800,com.gemalto.cogent.test.face,FaceAPITest.testVerify,483x579
common,12-54566.data,.data,844800,NF,NF,NF
common,12.data,.data,844800,com.gemalto.cogent.test.face,FaceAPITest.testLocation,500x339
common,12.data,.data,844800,com.gemalto.cogent.test.face,FaceAPITest.testAttribute,500x339
